latitude,longitude,name,desc,color,source,precision
39.955771,-75.1946,3600 Market St Philadelphia,"3600 Market Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.956471,-75.221454,2929 Walnut St Philadelphia,"Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.949777,-75.195952,3620 Hamilton Walk Philadelphia,"Hamilton Walk, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.95396,-75.202912,200 S 40th St Philadelphia,"200 South 40th Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.956471,-75.221454,3200 Walnut St Philadelphia,"Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.952947,-75.195133,200 S 36th St Philadelphia,"200 South 36th Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.954103,-75.201417,3925 Walnut St Philadelphia,"3925 Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.953585,-75.173316,4000 Market St Philadelphia,"Market Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.956471,-75.221454,3907 Walnut St Philadelphia,"Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.956471,-75.221454,3409 Walnut St Philadelphia,"Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.95456,-75.202946,4001 Walnut St Philadelphia,"4001 Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.952773,-75.201202,4000 Locust Walk Philadelphia,"Locust Walk, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.953287,-75.224255,3925 Pine St Philadelphia,"Pine Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.953513,-75.203692,4033 Chancellor St Philadelphia,"Chancellor Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.952773,-75.201202,3800 Locust Walk Philadelphia,"Locust Walk, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.953513,-75.203692,4033 Chancellor St Philadelphia,"Chancellor Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.95456,-75.202946,4001 Walnut St Philadelphia,"4001 Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.953335,-75.183643,3700 Chestnut St Philadelphia,"Chestnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.78373,-100.445882,42nd/Woodland Ave Philadelphia,US,,MapQuest Open,country
39.947595,-75.199079,3900 Woodland Ave Philadelphia,"3900 Woodland Avenue, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.78373,-100.445882,46th & Kingessing Ave Philadelphia,US,,MapQuest Open,country
39.953041,-75.216195,1223 S 47th St Philadelphia,"South 47th Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.78373,-100.445882,40th & Locust St Philadelphia,US,,MapQuest Open,country
39.944045,-75.210145,1229 S Markoe St Philadelphia,"South Markoe Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.956471,-75.221454,3901 Walnut St Philadelphia,"Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.951243,-75.198958,3744 Spruce St Philadelphia,"Spruce Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.953586,-75.194993,140 S 36th St Philadelphia,"140 South 36th Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.954103,-75.201417,3925 Walnut St Philadelphia,"3925 Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.951882,-75.178858,4038 Sansom St Philadelphia,"Sansom Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.954103,-75.201417,3925 Walnut St Philadelphia,"3925 Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.953585,-75.173316,4006 Market St Philadelphia,"Market Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
